transformation,family,gene_mean,gene_var
logp1,delta_method,0.0075,0.005819700152100266
logp1,delta_method,0.0025,0.011966038558369455
logp1,delta_method,0.235,0.35193198741956666
logp1,delta_method,0.185,0.37443268995552925
logp1,delta_method,0.47,1.0965136639025814
logp1,delta_method,0.015,0.00923121835940146
logp1,delta_method,0.005,0.0011359185959549393
logp1,delta_method,0.1575,0.5192608152149025
logp1,delta_method,0.0475,0.15188508079193155
logp1,delta_method,0.1075,0.07038958755932032
logp1,delta_method,0.035,0.021756306036448743
logp1,delta_method,0.0075,0.02337252969240425
logp1,delta_method,0.085,0.2551366542060925
logp1,delta_method,1.6,1.832122716565559
logp1,delta_method,0.0975,0.25125767209784994
logp1,delta_method,0.005,0.0020918485108018803
logp1,delta_method,2.7475,2.7994800792570778
logp1,delta_method,0.1225,0.2789542443984168
logp1,delta_method,1.655,2.026247205816377
logp1,delta_method,0.7075,0.8957950946611042
logp1,delta_method,0.0025,0.024439791576705873
logp1,delta_method,4.8075,3.550412644465558
logp1,delta_method,0.0025,7.309266757572526e-4
logp1,delta_method,0.785,1.1854233307726965
logp1,delta_method,0.0025,5.390427375098488e-4
logp1,delta_method,0.0225,0.10534557207667697
logp1,delta_method,0.785,1.2414294418282956
logp1,delta_method,0.155,0.27938467145557444
logp1,delta_method,0.795,0.9834185371664286
logp1,delta_method,0.085,0.20270226339683056
logp1,delta_method,0.085,0.11766440931815038
logp1,delta_method,0.0125,0.026303617487533074
logp1,delta_method,0.1425,0.38030753558719993
logp1,delta_method,0.265,0.5060878035413546
logp1,delta_method,0.06,0.06667141456707691
logp1,delta_method,0.065,0.17532382558342877
logp1,delta_method,0.0025,0.0011467924590072912
logp1,delta_method,0.09,0.14116888419354517
logp1,delta_method,0.025,0.03611621235739788
logp1,delta_method,1.28,1.971832174117026
logp1,delta_method,0.0775,0.39918111973336773
logp1,delta_method,1.6725,1.8430290090265675
logp1,delta_method,0.01,0.027948480712271344
logp1,delta_method,0.0325,0.04197159178501131
logp1,delta_method,0.9525,1.4167121807259109
logp1,delta_method,0.17,0.2131570646914356
logp1,delta_method,0.945,1.4209535197198022
logp1,delta_method,0.59,0.854801748562741
logp1,delta_method,0.4125,1.1856255644242888
logp1,delta_method,0.67,0.8020133267219175
logp1,delta_method,0.115,0.09092427873214365
logp1,delta_method,0.085,0.13692150363567593
logp1,delta_method,0.6325,1.4641881948476
logp1,delta_method,0.0075,0.019854519108389274
logp1,delta_method,0.015,0.06957305113531866
logp1,delta_method,0.205,0.4550349563412877
logp1,delta_method,0.3525,0.6381327402329852
logp1,delta_method,0.005,0.030392521674918467
logp1,delta_method,22.125,5.273091743401118
logp1,delta_method,0.68,1.796998852052508
logp1,delta_method,0.11,0.10731808517350183
logp1,delta_method,0.0825,0.11365173405567187
logp1,delta_method,0.0275,0.12608251126268774
logp1,delta_method,0.3475,1.1009991856220473
logp1,delta_method,1.39,2.015485349539532
logp1,delta_method,0.0025,0.029976660015782978
logp1,delta_method,0.1325,0.2953384553591901
logp1,delta_method,0.34,0.6921391806028651
logp1,delta_method,0.015,0.11526631283868251
logp1,delta_method,0.0025,0.0012602043131153414
logp1,delta_method,1.17,1.6440477929419632
logp1,delta_method,0.0575,0.24634140958969167
logp1,delta_method,0.0175,0.08724065338915912
logp1,delta_method,0.4925,1.3678228820297056
logp1,delta_method,0.425,0.6772025896676181
logp1,delta_method,0.135,0.3668635848350428
logp1,delta_method,0.005,0.001804107013987893
logp1,delta_method,0.005,0.013926860329944375
logp1,delta_method,0.0025,0.0012180742013010715
logp1,delta_method,0.005,0.008498248480748543
logp1,delta_method,0.3275,0.9279482247666674
logp1,delta_method,0.02,0.1438883518663546
logp1,delta_method,0.395,0.8643615549488954
logp1,delta_method,0.09,0.1483931640360961
logp1,delta_method,0.1375,0.4907479267848012
logp1,delta_method,0.2425,0.5785435023554498
logp1,delta_method,0.0125,0.14263419313697628
logp1,delta_method,0.0975,0.30659901271034873
logp1,delta_method,0.0175,0.06131064702374532
logp1,delta_method,0.0025,0.0020080155545932053
logp1,delta_method,0.0075,0.05632733846569363
logp1,delta_method,1.9275,2.8355161998643537
logp1,delta_method,0.335,0.7110158987759683
logp1,delta_method,0.2875,0.47214776491438937
logp1,delta_method,0.2125,0.6634747971365857
logp1,delta_method,0.79,1.3343949232157957
logp1,delta_method,0.375,1.059496208541629
logp1,delta_method,0.2925,0.6093505075589366
logp1,delta_method,0.0125,0.005019234557055715
