benchmark,transformation,family,dataset,replicate,pca_dim,alpha,knn,n_clusters,n_clusters_counts,ARI,AMI,NMI,rel_ARI,rel_AMI,rel_NMI,mean_knn_overlap
simulation,rand_quantile,glm_residual,muscat,2,10,TRUE,50,8,10,0.443212798788966,0.6728128849387834,0.6728128849387834,1.0120707119005095,1.0689342883777848,1.0689342883777848,2.5228
simulation,dino,latent_expr,muscat,2,10,FALSE,50,8,9,0.49393203696528065,0.6823471743619313,0.6823471743619313,1.1278874383768482,1.0840819306240352,1.0840819306240352,2.6986
simulation,normalisr_norm,latent_expr,muscat,2,10,FALSE,50,8,10,0.4617062753330906,0.5749162358042483,0.5749162358042483,1.0543003271613256,0.9134005771190963,0.9134005771190963,2.4398
simulation,sanity_map,latent_expr,muscat,2,10,FALSE,50,8,12,0.4852310680100085,0.6140355290385546,0.6140355290385546,1.1080188879449833,0.9755515180587303,0.9755515180587303,2.5378
simulation,sanity_dists,latent_expr,muscat,2,10,FALSE,50,8,7,0.5038985771108673,0.6724989582929445,0.6724989582929445,1.150645904305382,1.0684355361046276,1.0684355361046276,2.589
simulation,glmpca,count_model,muscat,2,10,FALSE,50,8,24,0.11441193639489232,0.173275270383126,0.173275270383126,0.26125818169846854,0.2752918114184265,0.2752918114184265,1.1798
simulation,newwave,count_model,muscat,2,10,TRUE,50,8,9,0.552248171630401,0.6987583163627507,0.6987583163627507,1.2610515800421624,1.110155201200161,1.110155201200161,2.6754
simulation,raw_counts,negative_control,muscat,2,10,FALSE,50,8,17,0.2848969144858164,0.4687476390567461,0.4687476390567461,0.6505584311864799,0.7447247744511896,0.7447247744511896,2.2794
simulation,scaled_raw_counts,negative_control,muscat,2,10,FALSE,50,8,11,0.3963643774418253,0.5836584814348524,0.5836584814348524,0.9050929457489689,0.9272898564732274,0.9272898564732274,2.2998
simulation,logp1,delta_method,muscat,3,10,FALSE,50,8,7,0.6897848125210484,0.7836535064619932,0.7836535064619932,1.125013106929427,1.0765740798261072,1.0765740798261072,2.9618
simulation,logp1_hvg,delta_method,muscat,3,10,FALSE,50,8,7,0.724487865343582,0.8052583737090305,0.8052583737090305,1.1816124819332412,1.1062545953657548,1.1062545953657548,2.9614
simulation,logp1_zscore,delta_method,muscat,3,10,FALSE,50,8,6,0.6816076673173522,0.7699300725969576,0.7699300725969576,1.111676490401439,1.0577209858713472,1.0577209858713472,2.9294
simulation,logp1_hvg_zscore,delta_method,muscat,3,10,FALSE,50,8,6,0.6838508824684046,0.7676270642763483,0.7676270642763483,1.1153350900121974,1.0545571398052644,1.0545571398052644,2.9262
simulation,logp_cpm,delta_method,muscat,3,10,FALSE,50,8,6,0.6795534980204484,0.7541842787411375,0.7541842787411375,1.1083262174744044,1.0360895972644193,1.0360895972644193,2.8304
simulation,logp1_size_normed,delta_method,muscat,3,10,FALSE,50,8,7,0.6785124345887166,0.7847163773385282,0.7847163773385282,1.1066282821406839,1.0780342394839715,1.0780342394839715,2.8974
simulation,acosh,delta_method,muscat,3,10,TRUE,50,8,6,0.673322023238196,0.764788701626569,0.764788701626569,1.0981629162849915,1.0506578301834715,1.0506578301834715,2.8988
simulation,logp_alpha,delta_method,muscat,3,10,TRUE,50,8,6,0.7043449532072477,0.7805262123200697,0.7805262123200697,1.1487601492147494,1.0722778394782693,1.0722778394782693,2.8956
simulation,pearson,glm_residual,muscat,3,10,TRUE,50,8,11,0.5931409669255313,0.7294322710316097,0.7294322710316097,0.9673906266639559,1.002085576732386,1.002085576732386,2.9066
simulation,pearson_clip,glm_residual,muscat,3,10,TRUE,50,8,7,0.6797424013650984,0.7593185357899429,0.7593185357899429,1.108634311730492,1.0431429799294996,1.0431429799294996,2.9142
simulation,pearson_clip_hvg,glm_residual,muscat,3,10,TRUE,50,8,11,0.6095449560184966,0.7413435494051327,0.7413435494051327,0.9941449164084118,1.0184491525331534,1.0184491525331534,2.9162
simulation,pearson_clip_zscore,glm_residual,muscat,3,10,TRUE,50,8,8,0.6574454632972041,0.7789583047525315,0.7789583047525315,1.0722688436664798,1.0701238662836674,1.0701238662836674,2.895
simulation,pearson_clip_hvg_zscore,glm_residual,muscat,3,10,TRUE,50,8,8,0.6936717912441703,0.7916877593438654,0.7916877593438654,1.1313526231531688,1.087611443063901,1.087611443063901,2.8926
simulation,pearson_analytic,glm_residual,muscat,3,10,TRUE,50,8,10,0.568008158427404,0.744983302562727,0.744983302562727,0.9263999605009812,1.023449403121098,1.023449403121098,2.9018
simulation,sctransform,glm_residual,muscat,3,10,TRUE,50,8,11,0.4815438373455277,0.6387029082067774,0.6387029082067774,0.7853799021680833,0.8774426325090641,0.8774426325090641,2.507
simulation,rand_quantile,glm_residual,muscat,3,10,TRUE,50,8,6,0.6823431766785536,0.75763795658532,0.75763795658532,1.1128760785289256,1.0408342197493017,1.0408342197493017,2.8414
simulation,dino,latent_expr,muscat,3,10,FALSE,50,8,7,0.7145160825427217,0.8040099008137652,0.8040099008137652,1.1653488789272255,1.1045394578115617,1.1045394578115617,2.919
simulation,normalisr_norm,latent_expr,muscat,3,10,FALSE,50,8,8,0.4761464720543315,0.6295251530140796,0.6295251530140796,0.7765770022125318,0.8648343390860483,0.8648343390860483,2.6548
simulation,sanity_map,latent_expr,muscat,3,10,FALSE,50,8,10,0.5245200027797277,0.7047449978102359,0.7047449978102359,0.8554724129358048,0.9681704876878565,0.9681704876878565,2.6968
simulation,sanity_dists,latent_expr,muscat,3,10,FALSE,50,8,6,0.606023944203763,0.7092659372194591,0.7092659372194591,0.9884022784591199,0.9743813017074452,0.9743813017074452,2.6836
simulation,glmpca,count_model,muscat,3,10,FALSE,50,8,6,0.7331242440252432,0.7976915326006379,0.7976915326006379,1.1956980910056767,1.0958593569902684,1.0958593569902684,2.9408
simulation,newwave,count_model,muscat,3,10,TRUE,50,8,8,0.6277846736520306,0.7652986861957193,0.7652986861957193,1.02389321041538,1.051358441057705,1.051358441057705,2.8914
simulation,raw_counts,negative_control,muscat,3,10,FALSE,50,8,11,0.20509069874505167,0.38237345829571,0.38237345829571,0.334495222291455,0.5253002131938976,0.5253002131938976,1.7682
simulation,scaled_raw_counts,negative_control,muscat,3,10,FALSE,50,8,9,0.3471268863640213,0.5242807645036889,0.5242807645036889,0.5661509065411745,0.7202508212645398,0.7202508212645398,2.4368
simulation,logp1,delta_method,muscat,4,10,FALSE,50,8,13,0.35038277465650397,0.5962100737991479,0.5962100737991479,0.8963535854385851,1.0369039045347639,1.0369039045347639,2.5712
simulation,logp1_hvg,delta_method,muscat,4,10,FALSE,50,8,15,0.35877299382123573,0.5746818070079873,0.5746818070079873,0.9178175487806634,0.9994628332167697,0.9994628332167697,2.572
simulation,logp1_zscore,delta_method,muscat,4,10,FALSE,50,8,12,0.4209753055783032,0.6746482359531102,0.6746482359531102,1.0769442787424188,1.1733203124020586,1.1733203124020586,2.6254
simulation,logp1_hvg_zscore,delta_method,muscat,4,10,FALSE,50,8,12,0.4360989479772399,0.6579251816243438,0.6579251816243438,1.115633769407214,1.144236267882733,1.144236267882733,2.6238
simulation,logp_cpm,delta_method,muscat,4,10,FALSE,50,8,6,0.49610776180857535,0.6196214655770618,0.6196214655770618,1.269149065609677,1.0776200289545097,1.0776200289545097,2.4708
simulation,logp1_size_normed,delta_method,muscat,4,10,FALSE,50,8,15,0.37074191181217103,0.5825506608837462,0.5825506608837462,0.9484365841071367,1.0131480184669883,1.0131480184669883,2.5986
simulation,acosh,delta_method,muscat,4,10,TRUE,50,8,14,0.3731477537100762,0.5988851103497776,0.5988851103497776,0.9545912388652074,1.0415562174795057,1.0415562174795057,2.5702
simulation,logp_alpha,delta_method,muscat,4,10,TRUE,50,8,15,0.380786204985082,0.5769259833613856,0.5769259833613856,0.9741320202128679,1.003365811924384,1.003365811924384,2.5334
simulation,pearson,glm_residual,muscat,4,10,TRUE,50,8,7,0.4990353937582169,0.6192634747659109,0.6192634747659109,1.2766385701878586,1.0769974261401956,1.0769974261401956,2.404
simulation,pearson_clip,glm_residual,muscat,4,10,TRUE,50,8,12,0.3933430151851875,0.5822045885118173,0.5822045885118173,1.0062550087232778,1.0125461437092909,1.0125461437092909,2.4024
simulation,pearson_clip_hvg,glm_residual,muscat,4,10,TRUE,50,8,12,0.38521044174367114,0.579556691116562,0.579556691116562,0.9854501578846707,1.0079410300612572,1.0079410300612572,2.4044
simulation,pearson_clip_zscore,glm_residual,muscat,4,10,TRUE,50,8,16,0.38353838164724857,0.5878519460609578,0.5878519460609578,0.9811726728856823,1.0223677944165555,1.0223677944165555,2.5964
simulation,pearson_clip_hvg_zscore,glm_residual,muscat,4,10,TRUE,50,8,12,0.412063765509157,0.6329380972961786,0.6329380972961786,1.054146665758762,1.1007797641411639,1.1007797641411639,2.597
simulation,pearson_analytic,glm_residual,muscat,4,10,TRUE,50,8,12,0.37135138282933866,0.5378174464972606,0.5378174464972606,0.9499957404669054,0.9353498619142638,0.9353498619142638,2.3446
simulation,sctransform,glm_residual,muscat,4,10,TRUE,50,8,9,0.4404223210823209,0.5986580353502947,0.5986580353502947,1.1266938764222556,1.0411612980309197,1.0411612980309197,2.3494
simulation,rand_quantile,glm_residual,muscat,4,10,TRUE,50,8,15,0.4250982435780663,0.5857374395291364,0.5857374395291364,1.0874916301704438,1.01869033210023,1.01869033210023,2.6048
simulation,dino,latent_expr,muscat,4,10,FALSE,50,8,11,0.34741397119958173,0.5898365286576508,0.5898365286576508,0.88875875539683,1.0258192983978114,1.0258192983978114,2.6026
simulation,normalisr_norm,latent_expr,muscat,4,10,FALSE,50,8,7,0.3806277594766549,0.555135769159184,0.555135769159184,0.9737266829364721,0.9654691725017442,0.9654691725017442,2.405
simulation,sanity_map,latent_expr,muscat,4,10,FALSE,50,8,13,0.3409878074621219,0.5167192886406321,0.5167192886406321,0.8723192631520003,0.8986568182683781,0.8986568182683781,2.306
simulation,sanity_dists,latent_expr,muscat,4,10,FALSE,50,8,6,0.3280011830239722,0.5079108783372821,0.5079108783372821,0.8390967184955409,0.8833375953339384,0.8833375953339384,2.1512
simulation,glmpca,count_model,muscat,4,10,FALSE,50,8,10,0.4004838331740021,0.6539078176521548,0.6539078176521548,1.0245227383898208,1.1372494345973507,1.1372494345973507,2.6288
simulation,newwave,count_model,muscat,4,10,TRUE,50,8,11,0.5331270234509672,0.656834458164758,0.656834458164758,1.363852202588877,1.1423393267478652,1.1423393267478652,2.6216
simulation,raw_counts,negative_control,muscat,4,10,FALSE,50,8,9,0.27793750119303906,0.35458430821920467,0.35458430821920467,0.7110231830501806,0.6166783652889312,0.6166783652889312,1.6486
simulation,scaled_raw_counts,negative_control,muscat,4,10,FALSE,50,8,8,0.2758950044212046,0.35937086303970633,0.35937086303970633,0.7057980423266523,0.6250029434883929,0.6250029434883929,1.6576
simulation,logp1,delta_method,muscat,5,10,FALSE,50,8,10,0.47257711608919595,0.7066400024840905,0.7066400024840905,1.1487626561798643,1.1807127387430227,1.1807127387430227,2.6078
simulation,logp1_hvg,delta_method,muscat,5,10,FALSE,50,8,10,0.4766764809883769,0.7054902761993606,0.7054902761993606,1.158727584971179,1.1787916806856296,1.1787916806856296,2.6086
simulation,logp1_zscore,delta_method,muscat,5,10,FALSE,50,8,14,0.40436407242454214,0.5949535008510278,0.5949535008510278,0.9829471848874908,0.9940976663437362,0.9940976663437362,2.6682
simulation,logp1_hvg_zscore,delta_method,muscat,5,10,FALSE,50,8,14,0.4211897284518752,0.5916725960662917,0.5916725960662917,1.0238477800535921,0.9886156584467547,0.9886156584467547,2.6688
simulation,logp_cpm,delta_method,muscat,5,10,FALSE,50,8,10,0.4672775577189543,0.6383621654480266,0.6383621654480266,1.1358802407121844,1.066628464319122,1.066628464319122,2.5538
